,Date,Total Revenue/Income,Total Operating Expense,Operating Income/Profit,EBITDA,EBIT,Income/Profit Before Tax,Net Income From Continuing Operation,Net Income,Net Income Applicable to Common Share,EPS (Earning Per Share)
66,Mar-08,6114.93,0,1419.93,0,0,1484.61,0,0,0,0
67,Dec-07,5905.05,0,1406.98,0,0,1535.61,0,0,0,0
68,Sep-07,5590.59,0,1295.62,0,0,1458.10,0,0,0,0
69,Jun-07,5203.07,0,1213.90,0,0,1368.43,0,0,0,0
70,Mar-07,5267.38,0,1430.79,0,0,1428.76,0,0,0,0
71,Dec-06,4907.75,0,1312.22,0,0,1312.59,0,0,0,0
72,Sep-06,4513.18,0,1168.34,0,0,1166.44,0,0,0,0
73,Jun-06,4185.85,0,971.83,0,0,1011.57,0,0,0,0
74,Mar-06,4224.41,0,1227.29,0,0,1021.57,0,0,0,0
75,Dec-05,3287.85,0,871.50,0,0,883.89,0,0,0,0
76,Sep-05,2959.92,0,820.75,0,0,828.89,0,0,0,0
77,Jun-05,2682.30,0,735.21,0,0,772.27,0,0,0,0
78,Mar-05,2483.69,0,1205.38,0,0,652.85,0,0,0,0
79,Dec-04,2498.11,0,341.79,0,0,989.90,0,0,0,0
80,Sep-04,1663.77,0,490.90,0,0,483.03,0,0,0,0
81,Jun-04,2119.35,0,575.88,0,0,618.42,0,0,0,0
